edge_id,station_a,station_b,lines,n_lines
Gunnersbury__Kew Gardens,Gunnersbury,Kew Gardens,District-Richmond,1
Gunnersbury__Turnham Green,Gunnersbury,Turnham Green,District-Richmond,1
Hammersmith__Ravenscourt Park,Hammersmith,Ravenscourt Park,District-Main,1
Hammersmith__Turnham Green,Hammersmith,Turnham Green,Piccadilly-Main,1
Harlesden__Stonebridge Park,Harlesden,Stonebridge Park,Bakerloo,1
Harlesden__Willesden Junction,Harlesden,Willesden Junction,Bakerloo,1
Harrow & Wealdstone__Kenton,Harrow & Wealdstone,Kenton,Bakerloo,1
Harrow-on-the-Hill__North Harrow,Harrow-on-the-Hill,North Harrow,Metropolitan-Main,1
Harrow-on-the-Hill__Northwick Park,Harrow-on-the-Hill,Northwick Park,Metropolitan-Main,1
Harrow-on-the-Hill__West Harrow,Harrow-on-the-Hill,West Harrow,Metropolitan-Uxbridge,1
Hatton Cross__Heathrow Terminals 2 & 3,Hatton Cross,Heathrow Terminals 2 & 3,Piccadilly-Main,1
Hatton Cross__Hounslow West,Hatton Cross,Hounslow West,Piccadilly-Main,1
Heathrow Terminal 4__Heathrow Terminals 2 & 3,Heathrow Terminal 4,Heathrow Terminals 2 & 3,Piccadilly-Heathrow,1
Heathrow Terminal 5__Heathrow Terminals 2 & 3,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Piccadilly-Main,1
High Barnet__Totteridge & Whetstone,High Barnet,Totteridge & Whetstone,Northern-High Barnet,1
High Street Kensington__Notting Hill Gate,High Street Kensington,Notting Hill Gate,Circle-Main;District-Edgware Road,2
Highbury & Islington__King’s Cross St. Pancras,Highbury & Islington,King’s Cross St. Pancras,Victoria,1
Hillingdon__Ickenham,Hillingdon,Ickenham,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Hillingdon__Uxbridge,Hillingdon,Uxbridge,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Holborn__Russell Square,Holborn,Russell Square,Piccadilly-Main,1
Holborn__Tottenham Court Road,Holborn,Tottenham Court Road,Central-Main,1
Holland Park__Notting Hill Gate,Holland Park,Notting Hill Gate,Central-Main,1
Holland Park__Shepherd’s Bush,Holland Park,Shepherd’s Bush,Central-Main,1
